Car ID	Make	Make (Full Name)	Model	Model (Full Name)	Manufacture Year	Age	Miles	 Miles / Year 	Color	Driver	Warantee Miles	Covered?	New Car ID
TY02COR025	TY	Toyota	COR	Corola	02	12	64467.4	" 5,157.39 "	Red	Gaul	100000	Y	TY02CORRED025
CR99CAR045	CR	Chrysler	CAR	Caravan	99	15	79420.6	" 5,123.91 "	Green	Hulinski	75000	Not Covered	CR99CARGRE045
HO01ODY040	HO	Honda	ODY	Odesy	01	13	68658.9	" 5,085.84 "	Black	Smith	100000	Y	HO01ODYBLA040
GM98SLV018	GM	General Motors	SLV	Silverado	98	16	83162.7	" 5,040.16 "	Black	Santos	100000	Y	GM98SLVBLA018
CR04CAR048	CR	Chrysler	CAR	Caravan	04	10	52699.4	" 5,018.99 "	Red	Bard	75000	Y	CR04CARRED048
HO10CIV032	HO	Honda	CIV	Civic	10	4	22573	" 5,016.22 "	Blue	Torrens	75000	Y	HO10CIVBLU032
FD06MTG001	FD	Ford	MTG	Mustang	06	8	40326.8	" 4,744.33 "	Black	Smith	50000	Y	FD06MTGBLA001
													
	CR	Chrysler	CAM	Camery									
	FD	Ford	CAR	Caravan									
	GM	General Motors	CIV	Civic									
	HO	Honda	CMR	Camero									
	HY	Hyundai	COR	Corola									
	TY	Toyota	ELA	Elantra									
			FCS	Focus									
			MTG	Mustang									
			ODY	Odesy									
			PTC	PT Cruiser									
			SLV	Silverado									
